,Compound,Date,Negative,Neutral,Positive,Tweets_ago,User,text
0,-0.7351,Mon Mar 12 00:11:04 +0000 2018,0.246,0.754,0.0,1,@CNN,"In politics today, ""everybody is feeding ... on the hysteria and the negativity. You've got to stay in the light,""… https://t.co/1MQ58opLIF"
1,0.0,Mon Mar 12 00:00:28 +0000 2018,0.0,1.0,0.0,2,@CNN,"The #VanJonesShow with @Oprah and @Ava starts now. Head there wherever you are: on TV, desktop, mobile devices, app… https://t.co/fmRPmzAzex"
2,0.4215,Sun Mar 11 23:58:43 +0000 2018,0.106,0.664,0.23,3,@CNN,"JUST IN: The White House unveils new gun and school safety proposals, including hardening security, background chec… https://t.co/iGHZT9nZAQ"
3,0.3612,Sun Mar 11 23:45:04 +0000 2018,0.0,0.821,0.179,4,@CNN,"Join CNN’s group in the #MarchMadness Bracket Challenge to see how you stack up against @wolfblitzer, @brookebcnn,… https://t.co/Mus3MoyUKl"
4,-0.1027,Sun Mar 11 23:30:15 +0000 2018,0.104,0.896,0.0,5,@CNN,President Trump hits EU on trade days after imposing new tariffs https://t.co/J9jZUVayuz https://t.co/lh6l1STK0q
5,0.7351,Sun Mar 11 23:15:07 +0000 2018,0.0,0.733,0.267,6,@CNN,Warren Buffett has promised $1 million a year for life to the Berkshire Hathaway employee who picks a perfect brack… https://t.co/e9QUrDgVAU
6,0.3612,Sun Mar 11 23:00:13 +0000 2018,0.0,0.884,0.116,7,@CNN,Are you ready for Oprah Winfrey? The countdown is on. Tune in for her interview with @VanJones68 on The… https://t.co/1e5VNibLMW
7,0.0,Sun Mar 11 22:45:06 +0000 2018,0.0,1.0,0.0,8,@CNN,Take a look at the week in politics https://t.co/8UCIFHzvaL https://t.co/nuQdD2Lo3Y
8,0.0258,Sun Mar 11 22:30:12 +0000 2018,0.086,0.823,0.091,9,@CNN,"""The fact that they were creating this national march to say, 'enough.' ... what it takes to risk that on a nationa… https://t.co/OZykI3r4cU"
9,0.0,Sun Mar 11 22:15:07 +0000 2018,0.0,1.0,0.0,10,@CNN,President Trump says the person he most wants to run against in 2020 is Oprah https://t.co/TThb2WDIm0 https://t.co/4yUB269pjG
10,0.2732,Sun Mar 11 22:00:37 +0000 2018,0.0,0.896,0.104,11,@CNN,You know their name. But how well do you know your Kennedy trivia? #TheKennedys premieres tonight at 9p. https://t.co/3YRwzmSy7U
11,-0.6486,Sun Mar 11 21:45:06 +0000 2018,0.249,0.751,0.0,12,@CNN,"In California, a 15-hour standoff that left 1 officer dead started with a car chase https://t.co/zrHSHjn8K2 https://t.co/ajJH4ADUMC"
12,0.0,Sun Mar 11 21:30:39 +0000 2018,0.0,1.0,0.0,13,@CNN,"""Do not spend all your time talking about your opponents."" Oprah has some advice for anyone who runs for president… https://t.co/YCsne8112s"
13,-0.25,Sun Mar 11 21:15:05 +0000 2018,0.2,0.8,0.0,14,@CNN,Socialism with Chinese characteristics? Beijing's propaganda explained https://t.co/Cx54QwIl0B https://t.co/E5YlfDmL6a
14,0.0,Sun Mar 11 21:00:13 +0000 2018,0.0,1.0,0.0,15,@CNN,Hong Kong elects new lawmakers as city faces decades of Xi Jinping rule https://t.co/3emq2iUe2y https://t.co/jYEBTnCOdj
15,-0.5106,Sun Mar 11 20:45:06 +0000 2018,0.381,0.619,0.0,16,@CNN,President Trump blames diplomatic shortages on Democrats https://t.co/ejID8n95K5 https://t.co/IgpNWHjcSO
16,0.3612,Sun Mar 11 20:30:07 +0000 2018,0.0,0.898,0.102,17,@CNN,"""I wake up in the morning, and the first thing I say is 'thank you,'"" Oprah Winfrey tells CNN's Van Jones. Watch he… https://t.co/nRcua0cyiR"
17,-0.6705,Sun Mar 11 20:15:09 +0000 2018,0.314,0.686,0.0,18,@CNN,"Sen. Mark Warner says the US is ""woefully unprepared"" for cyber threats https://t.co/KjebUo8zDU https://t.co/kD0Zb0Xy0q"
18,0.4939,Sun Mar 11 20:00:08 +0000 2018,0.0,0.849,0.151,19,@CNN,The section of a Baltimore park that once hosted Confederate monuments has been renamed in honor of abolitionist Ha… https://t.co/Fkaa1bx6qm
19,0.1027,Sun Mar 11 19:52:47 +0000 2018,0.119,0.743,0.139,20,@CNN,JUST IN: The White House is expected to unveil gun and school safety proposals Sunday https://t.co/h9ucmXTEwu https://t.co/zkpIB85soc
20,-0.3182,Sun Mar 11 19:45:06 +0000 2018,0.173,0.827,0.0,21,@CNN,"Victims of California veterans home shooting lived ""to serve others"" https://t.co/dMh3ZInjTJ https://t.co/kKBTBjUYJ6"
21,0.0,Sun Mar 11 19:30:43 +0000 2018,0.0,1.0,0.0,22,@CNN,"""I would only speak if I felt that I could be heard."" TV legend and philanthropist Oprah Winfrey discusses what she… https://t.co/KGzQSdTKO1"
22,0.25,Sun Mar 11 19:15:08 +0000 2018,0.109,0.729,0.161,23,@CNN,"President Trump questions Rep. Maxine Waters' intelligence again, says she is ""a low IQ individual""… https://t.co/dNNeikovUO"
23,-0.7506,Sun Mar 11 19:00:13 +0000 2018,0.39,0.61,0.0,24,@CNN,"When tragedy struck, athletes stepped up for a Florida high school https://t.co/nLTbM2hGht https://t.co/1ifqi4Vxqz"
24,0.0772,Sun Mar 11 18:45:04 +0000 2018,0.0,0.902,0.098,25,@CNN,China clears way for President Xi Jinping to rule for life https://t.co/GXHecoZM5L https://t.co/yPQhBmscRH
25,-0.5095,Sun Mar 11 18:30:14 +0000 2018,0.215,0.785,0.0,26,@CNN,The 64 most outrageous lines from President Trump's untethered Pennsylvania speech https://t.co/r3vR1XPK4D https://t.co/sLolInfQqS
26,0.0,Sun Mar 11 18:15:13 +0000 2018,0.0,1.0,0.0,27,@CNN,"""Saturday Night Live"" parodied the season finale of ""The Bachelor"" in its cold open, but rather than a couple break… https://t.co/Tlomm97PAZ"
27,0.128,Sun Mar 11 18:00:14 +0000 2018,0.0,0.919,0.081,28,@CNN,"Here's the methodology behind CNN's exclusive story, ""The more opioids doctors prescribe, the more money they make""… https://t.co/6Holhn9uKu"
28,0.0258,Sun Mar 11 17:45:07 +0000 2018,0.106,0.784,0.11,29,@CNN,"Barack Obama's faith in US democracy made him blind to what would come, writes Julian Zelizer, as he and seven hist… https://t.co/FTxT16oh8x"
29,0.128,Sun Mar 11 17:30:04 +0000 2018,0.0,0.897,0.103,30,@CNN,"CNN Exclusive: The more opioids doctors prescribe, the more money they make https://t.co/eAXuBJ1diw https://t.co/gcrT4jfpiU"
30,0.0,Sun Mar 11 17:15:06 +0000 2018,0.0,1.0,0.0,31,@CNN,Wall Street is still trying to figure out which President Trump it'll get https://t.co/CYmOnyOIZW https://t.co/fFPsFhDTEu
31,0.0,Sun Mar 11 17:01:09 +0000 2018,0.0,1.0,0.0,32,@CNN,"The papacy has ruled for 2,000 years. Now go back to the beginning of the Pope’s rise to power. #Pope premieres ton… https://t.co/gI3SrvhHav"
32,0.4019,Sun Mar 11 16:45:10 +0000 2018,0.0,0.828,0.172,33,@CNN,"President Trump brags about his party's ""5-0"" record in House special elections https://t.co/vPSCfNDYeF https://t.co/imHxAcVfCB"
33,0.0,Sun Mar 11 16:30:07 +0000 2018,0.0,1.0,0.0,34,@CNN,Northeast prepares for its 3rd winter storm in the past 10 days https://t.co/JoTRQetMZY https://t.co/Jc6CQmUv7G
34,-0.4215,Sun Mar 11 16:16:06 +0000 2018,0.128,0.872,0.0,35,@CNN,"""Frankly, I just don't see how any senator can vote to weaken the regulations on Wall Street banks."" Democratic Sen… https://t.co/UElyMlyCl7"
35,0.0,Sun Mar 11 16:00:11 +0000 2018,0.0,1.0,0.0,36,@CNN,Customers of a restaurant and a pub in the UK have been urged to wash their clothes as a precaution after traces of… https://t.co/D6mdjVheg6
36,-0.6486,Sun Mar 11 15:45:52 +0000 2018,0.187,0.813,0.0,37,@CNN,"""We can't do what we did with Iran and let off the pressure and then just watch the behavior go in the wrong direct… https://t.co/Z8knp3MEam"
37,-0.6124,Sun Mar 11 15:30:12 +0000 2018,0.325,0.6,0.075,38,@CNN,"US Defense Secretary James Mattis warns Syria against using chemical weapons, doubts Russian missile claims… https://t.co/SS2g8Prnq1"
38,0.2187,Sun Mar 11 15:00:15 +0000 2018,0.095,0.774,0.13,39,@CNN,"66% of Millennials have nothing saved for retirement, a new report shows. Of those who do save, most have less than… https://t.co/LV5n4lhDKy"
39,0.4215,Sun Mar 11 14:45:03 +0000 2018,0.0,0.859,0.141,40,@CNN,Video games do not teach people to become shooters in real life | By Lindsay Grace via @CNNOpinion… https://t.co/To5tJkefdd
40,0.0,Sun Mar 11 14:30:10 +0000 2018,0.0,1.0,0.0,41,@CNN,"Local law says that ""every head of household residing in the city limits is required to maintain a firearm"" in Kenn… https://t.co/Nf0Lm30jOd"
41,-0.2732,Sun Mar 11 14:15:07 +0000 2018,0.139,0.861,0.0,42,@CNN,11 tax deductions and other ways to cut your 2017 tax bill https://t.co/jq7skCHDUf https://t.co/EJkXr8jlW9
42,-0.3007,Sun Mar 11 14:03:27 +0000 2018,0.092,0.908,0.0,43,@CNN,"Oprah says she's ""not running for office,""  but her advice for someone who might is ""do not give your energy to the… https://t.co/n2iTxgYjrl"
43,-0.2732,Sun Mar 11 14:01:04 +0000 2018,0.139,0.861,0.0,44,@CNN,11 tax deductions and other ways to cut your 2017 tax bill https://t.co/QQ1nZJEfRJ https://t.co/D2DABt7h1W
44,-0.34,Sun Mar 11 13:31:02 +0000 2018,0.167,0.726,0.107,45,@CNN,"Anthony C. Acevedo, the first Mexican-American to register as a Holocaust survivor, was a World War II medic and on… https://t.co/IQ14hNQBWr"
45,0.0,Sun Mar 11 13:28:03 +0000 2018,0.0,1.0,0.0,46,@CNN,Sen. Elizabeth Warren: “I am not running for president in 2020” https://t.co/0dy8gxtdRw https://t.co/M99yjYnqvR
46,-0.2475,Sun Mar 11 13:22:14 +0000 2018,0.127,0.745,0.128,47,@CNN,"Sen. Elizabeth Warren: ""I want the President to succeed … but I am very worried he is going to go into these negoti… https://t.co/Q3DQPYof0Y"
47,0.5095,Sun Mar 11 13:20:57 +0000 2018,0.0,0.845,0.155,48,@CNN,"Sen. Elizabeth Warren: ""I am very glad to see this administration move toward a diplomatic approach to North Korea”… https://t.co/bFt8iWwzKq"
48,0.2716,Sun Mar 11 13:14:35 +0000 2018,0.0,0.896,0.104,49,@CNN,"GOP Sen. Ron Johnson of Wisconsin: “It’s just incredibly important to, I would say, ratchet up the sanctions agains… https://t.co/9tuearvy9f"
49,0.0,Sun Mar 11 13:01:02 +0000 2018,0.0,1.0,0.0,50,@CNN,This photographer snaps cancer-stricken kids as superheroes https://t.co/bRrWqqIk7r https://t.co/5MFEqEFbMw
50,0.0,Sun Mar 11 12:31:03 +0000 2018,0.0,1.0,0.0,51,@CNN,"Barbie unveiled dolls based on real-life figures including Amelia Earhart, Frida Kahlo, Katherine Johnson and Chloe… https://t.co/Ss8N6WEbY4"
51,0.2187,Sun Mar 11 12:01:04 +0000 2018,0.095,0.774,0.13,52,@CNN,"66% of Millennials have nothing saved for retirement, a new report shows. Of those who do save, most have less than… https://t.co/3MB6jMLDON"
52,0.7003,Sun Mar 11 11:31:07 +0000 2018,0.0,0.674,0.326,53,@CNN,"Inspired by her travels, this artist paints stunning pictures on tea bags https://t.co/O8piOHSRFL https://t.co/HZSii2dacL"
53,0.0,Sun Mar 11 11:01:05 +0000 2018,0.0,1.0,0.0,54,@CNN,"Local law says that ""every head of household residing in the city limits is required to maintain a firearm"" in Kenn… https://t.co/2R3nT6dWU7"
54,0.0,Sun Mar 11 10:31:02 +0000 2018,0.0,1.0,0.0,55,@CNN,"""They could divorce. They could own property. They had many rights that women in subsequent civilizations didn't ha… https://t.co/5897yT64XL"
55,-0.0762,Sun Mar 11 10:01:02 +0000 2018,0.075,0.925,0.0,56,@CNN,"These high-performance cars, which are priced in the millions, can't be legally driven on public roads… https://t.co/xF15GOjWIb"
56,-0.4588,Sun Mar 11 09:31:04 +0000 2018,0.211,0.789,0.0,57,@CNN,"""Dumpster fire"" is in the Merriam-Webster dictionary now, defined as ""an utterly calamitous or mismanaged situation… https://t.co/oMS9hLU8Lx"
57,0.0,Sun Mar 11 09:01:05 +0000 2018,0.0,1.0,0.0,58,@CNN,"Child marriage is declining, a new UNICEF report says - but 12 million girls are still married in childhood every y… https://t.co/DAUZ1yVebf"
58,-0.5994,Sun Mar 11 08:31:04 +0000 2018,0.163,0.837,0.0,59,@CNN,"Scientists unravel the mystery of the Roman ""gate to hell,"" which was thought to belch a ""breath of death"" that cau… https://t.co/WJbHlsGepb"
59,0.34,Sun Mar 11 08:30:48 +0000 2018,0.0,0.854,0.146,60,@CNN,"China's largely ceremonial parliament endorses a constitutional amendment, paving the way for President Xi Jinping… https://t.co/RCTC01CJUz"
60,0.3818,Sun Mar 11 08:15:05 +0000 2018,0.0,0.898,0.102,61,@CNN,"Find out who and what is making big waves in the worlds of tech, media and innovation. Sign up for PACIFIC, CNN’s n… https://t.co/V8Ln7DhjHo"
61,0.0,Sun Mar 11 08:01:03 +0000 2018,0.0,1.0,0.0,62,@CNN,Facebook robots may one day follow you around at home https://t.co/urKEOzSzgF https://t.co/t1dARIPBBS
62,-0.4767,Sun Mar 11 07:31:03 +0000 2018,0.171,0.829,0.0,63,@CNN,"Fake news travels at a markedly faster rate on Twitter than accurate information, a new study finds… https://t.co/kpbDwphXbN"
63,0.0,Sun Mar 11 07:01:03 +0000 2018,0.0,1.0,0.0,64,@CNN,Uber says it has started using self-driving trucks to haul freight in Arizona https://t.co/r5bQPtepzj https://t.co/Fdxg8DUHHI
64,0.0,Sun Mar 11 06:59:06 +0000 2018,0.0,1.0,0.0,65,@CNN,Former White House press secretary Jay Carney says the role he once held has become unrecognizable under President… https://t.co/K3qLcWnL4R
65,0.0,Sun Mar 11 06:30:08 +0000 2018,0.0,1.0,0.0,66,@CNN,"""Black Panther"" to cross $1 billion worldwide in less than a month https://t.co/wJzaL36egw https://t.co/4uiuQSt2CG"
66,0.0772,Sun Mar 11 06:01:04 +0000 2018,0.0,0.939,0.061,67,@CNN,"Over 1.3 million live animals and plants, and a similar number of animal skins, have been exported from Africa to A… https://t.co/fHImyRVV9l"
67,0.0,Sun Mar 11 05:46:00 +0000 2018,0.0,1.0,0.0,68,@CNN,NASA spacecraft Juno has collected new data on its mission to Jupiter revealing some of the swirling inner mysterie… https://t.co/Tm73ZWcpn9
68,0.0,Sun Mar 11 05:31:05 +0000 2018,0.0,1.0,0.0,69,@CNN,Bones found on a remote Pacific island almost eight decades ago likely are those of pioneering pilot Amelia Earhart… https://t.co/MtqRDZ4kgB
69,0.25,Sun Mar 11 05:16:00 +0000 2018,0.0,0.9,0.1,70,@CNN,"Russian internet trolls created an anti-Hillary Clinton video game called ""Hilltendo"" and tried to make it go viral… https://t.co/aRZHkrFLDL"
70,0.0,Sun Mar 11 05:00:06 +0000 2018,0.0,1.0,0.0,71,@CNN,"President Trump is looking at adding impeachment lawyer to the White House team, The New York Times reports… https://t.co/clGPoY680u"
71,-0.3818,Sun Mar 11 04:30:06 +0000 2018,0.167,0.833,0.0,72,@CNN,"US Attorney General Jeff Sessions says judges blocking President Trump's policies is ""unconstitutional""… https://t.co/6FPpSHLqpd"
72,0.5434,Sun Mar 11 04:00:08 +0000 2018,0.0,0.82,0.18,73,@CNN,"""A Wrinkle in Time"" breaks through with a new kind of heroism, writes Van Jones for @CNNOpinion… https://t.co/nHKWj0zLmn"
73,0.1779,Sun Mar 11 03:30:11 +0000 2018,0.127,0.711,0.162,74,@CNN,"Washington, save partisan fighting for actual partisan issues — not DACA, writes Fernand Fernandez for @CNNOpinion… https://t.co/PkLyK4GUMq"
74,-0.296,Sun Mar 11 03:00:07 +0000 2018,0.104,0.896,0.0,75,@CNN,"The CEO of dating app Bumble says she pays no mind to Tinder, her biggest competitor and former employer… https://t.co/vOQrSvoZoV"
75,-0.4215,Sun Mar 11 02:30:03 +0000 2018,0.237,0.763,0.0,76,@CNN,US worries over China's expanding role in Africa https://t.co/JdQ485Nc35 https://t.co/HoPZkfx31V
76,0.2263,Sun Mar 11 02:01:39 +0000 2018,0.186,0.595,0.219,77,@CNN,Oprah says she was inspired to help the Florida school shooting survivors fight for gun control because their dedic… https://t.co/SHC9psBXC6
77,0.0258,Sun Mar 11 01:37:14 +0000 2018,0.204,0.584,0.212,78,@CNN,"President Trump appears to mock ""presidential"" behavior: ""That's easy"" https://t.co/zvDdpiNUy1"
78,0.0,Sun Mar 11 01:30:08 +0000 2018,0.0,1.0,0.0,79,@CNN,US Secretary of State Rex Tillerson will resume his normal schedule Sunday after canceling his Saturday schedule of… https://t.co/8g4GLb4WHv
79,-0.6705,Sun Mar 11 01:28:25 +0000 2018,0.262,0.646,0.091,80,@CNN,"President Trump discusses the death penalty for drug dealers: ""I don't think we should play games ... These people… https://t.co/yZwcNUrreM"
80,0.0,Sun Mar 11 01:15:30 +0000 2018,0.0,1.0,0.0,81,@CNN,"President Trump responds to chants of ""Build the wall"" at a rally in Pennsylvania: ""We are building the wall, 100%"" https://t.co/Oy2HVMcGjp"
81,0.4404,Sun Mar 11 01:00:18 +0000 2018,0.0,0.805,0.195,82,@CNN,Ireland seals Six Nations Championship title with four-try victory over Scotland https://t.co/uvZ1EZ067i https://t.co/AL5mTXS040
82,-0.5096,Sun Mar 11 00:58:33 +0000 2018,0.23,0.77,0.0,83,@CNN,"President Trump: Even President Ronald Reagan ""was not great"" on trade https://t.co/UETvww4jNW"
83,0.0,Sun Mar 11 00:46:34 +0000 2018,0.0,1.0,0.0,84,@CNN,"President Trump announces his 2020 campaign slogan: ""Keep America Great!"" https://t.co/hKeK7AB2h6"
84,0.6369,Sun Mar 11 00:39:31 +0000 2018,0.0,0.741,0.259,85,@CNN,"President Trump: ""I'd love to beat Oprah"" in the 2020 presidential election https://t.co/t30yRIq0zd"
85,0.296,Sun Mar 11 00:30:04 +0000 2018,0.0,0.855,0.145,86,@CNN,Turkish court frees 2 journalists on bail in trial of Cumhuriyet opposition paper https://t.co/Un1EUty2p6 https://t.co/mEJQZ19oc5
86,0.0,Sun Mar 11 00:26:45 +0000 2018,0.0,1.0,0.0,87,@CNN,"President Trump hits his predecessors on North Korea: ""They had their shot and all they did was nothing"" https://t.co/CIkhp64uW2"
87,0.0,Sun Mar 11 00:20:39 +0000 2018,0.0,1.0,0.0,88,@CNN,"President Trump on negotiations with North Korea: ""This should have been handled, by the way, over the last 30 year… https://t.co/dKCUO0NRzD"
88,0.3818,Sun Mar 11 00:14:02 +0000 2018,0.056,0.808,0.136,89,@CNN,President Trump touts his new steel and aluminum tariffs during a rally for Pennsylvania GOP special election candi… https://t.co/Q3E8P3zFBy
89,0.7906,Sun Mar 11 00:00:06 +0000 2018,0.0,0.611,0.389,90,@CNN,Will Supreme Court Justice Anthony Kennedy retire and be Republicans' Senate savior?https://t.co/kr6I66I97I https://t.co/RnI7IY8i3j
90,0.2732,Sat Mar 10 23:30:13 +0000 2018,0.161,0.622,0.218,91,@CNN,LGBTQ groups cry discrimination as Republican Sen. Mike Lee reintroduces religious freedom bill… https://t.co/HqPsXmxcYf
91,0.4939,Sat Mar 10 23:00:19 +0000 2018,0.112,0.612,0.276,92,@CNN,President Trump's trade moves may be of no help in Pennsylvania special election https://t.co/11inyamR9f https://t.co/vJMpYrhEkU
92,0.3182,Sat Mar 10 22:45:03 +0000 2018,0.0,0.887,0.113,93,@CNN,US Secretary of State Rex Tillerson changes tune after President Trump accepts meeting with North Korean leader Kim… https://t.co/kFsksZqn0u
93,0.0,Sat Mar 10 22:30:12 +0000 2018,0.0,1.0,0.0,94,@CNN,President Trump's estranged adviser Steve Bannon tells a far-right gathering in France that they should handle accu… https://t.co/X2jidYv3xU
94,0.3612,Sat Mar 10 22:15:05 +0000 2018,0.0,0.828,0.172,95,@CNN,"Steven Spielberg's ""Ready Player One"" to have world premiere at SXSW https://t.co/AzahlUPzxB https://t.co/P6cND1J2cs"
95,0.0,Sat Mar 10 22:00:22 +0000 2018,0.0,1.0,0.0,96,@CNN,Attorney General Jeff Sessions tests limits of immigration powers with asylum moves https://t.co/B8AfIWFrDD https://t.co/8D4RnpFuT3
96,0.0258,Sat Mar 10 21:45:06 +0000 2018,0.318,0.359,0.323,97,@CNN,The week President Trump rewarded enemies and punished friends https://t.co/h9ZNBoxZ9q https://t.co/wgTo39OKvt
97,-0.4767,Sat Mar 10 21:30:16 +0000 2018,0.199,0.736,0.065,98,@CNN,"""The darkness is there to show you your light."" Oprah Winfrey gives advice to Americans feeling jaded amid increasi… https://t.co/bNTETFcemm"
98,0.0,Sat Mar 10 21:15:07 +0000 2018,0.0,1.0,0.0,99,@CNN,Why is the US rolling back this high-return global investment? https://t.co/PHS5LIGmDj (via @CNNOpinion) https://t.co/nPp5q40N5r
99,0.6369,Sat Mar 10 21:00:53 +0000 2018,0.0,0.785,0.215,100,@CNN,Jackie Kennedy looked like a movie star on her wedding day. But it wasn’t the wedding of her dreams. Go inside… https://t.co/oCzygC50Dv
100,0.6068,Sun Mar 11 21:39:32 +0000 2018,0.0,0.763,0.237,101,@BBC,"RT @bbcthree: ""I felt completely overwhelmed and amazed as soon as he was put on my chest."" https://t.co/3FOgymPjhQ"
101,0.6908,Sun Mar 11 21:22:19 +0000 2018,0.0,0.678,0.322,102,@BBC,"🎤✨ Catch the best performances, exclusive backstage footage and photos from #AsianNetworkLive2018 at… https://t.co/nWlJnU6AX9"
102,0.3612,Sun Mar 11 21:02:37 +0000 2018,0.0,0.848,0.152,103,@BBC,"RT @BBCOne: Here's to the memories. ❤️
Thank you for watching #CallTheMidwife with us. https://t.co/G1h78O8Qya"
103,0.861,Sun Mar 11 20:00:07 +0000 2018,0.0,0.57,0.43,104,@BBC,"Join host @TessDaly for a very special event honouring one of this country's biggest and best-loved entertainers, S… https://t.co/Cym8TQlXhE"
104,0.765,Sun Mar 11 19:54:20 +0000 2018,0.048,0.662,0.29,105,@BBC,"RT @bbcouch: ‘I couldn’t reach Millie in her toughest year’

@knight_millie may be celebrating her second silver medal at the Winter Paraly…"
105,0.296,Sun Mar 11 19:52:28 +0000 2018,0.097,0.767,0.137,106,@BBC,RT @bbcsoutheast: It’s with great sadness we have to report that our sports reporter Neil Bell passed away in the early hours of Sunday mor…
106,0.4939,Sun Mar 11 19:51:36 +0000 2018,0.0,0.868,0.132,107,@BBC,RT @BBCBreakfast: Mary Beard's documentaries about the Romans have brought their ancient world to life - now she's turning her hand to the…
107,-0.7481,Sun Mar 11 19:51:25 +0000 2018,0.285,0.715,0.0,108,@BBC,"RT @BBCiPlayer: I will not allow that man...that nobody...to kill my brother twice. #ACSVersace, now on BBC iPlayer: https://t.co/M1ixQKBH3…"
108,0.0,Sun Mar 11 19:51:12 +0000 2018,0.0,1.0,0.0,109,@BBC,RT @BBCOne: Mums have to put up with some right rubbish. https://t.co/mN7f23pPub
109,0.0,Sun Mar 11 19:50:11 +0000 2018,0.0,1.0,0.0,110,@BBC,RT @BBCSpringwatch: Actual Mother's Day sibling selfie 😘👩‍👧‍👦  #selfie #mothersday #motheringsunday #sunday #winterwatch #wildlife #littleo…
110,0.0,Sun Mar 11 19:49:56 +0000 2018,0.0,1.0,0.0,111,@BBC,RT @cbbc: Tanya Muzinda is on a mission to conquer the motocross world. Follow her story Monday 5.30pm 🏍️💪 https://t.co/Z9w1GJZS45
111,-0.5994,Sun Mar 11 19:00:03 +0000 2018,0.163,0.837,0.0,112,@BBC,"'That was the end of my childhood.'

💔Money saving expert @MartinSLewis opens up about the death of his mum, three… https://t.co/zFdD7gDBmH"
112,0.2263,Sun Mar 11 18:00:15 +0000 2018,0.213,0.435,0.353,113,@BBC,❤️ These creations are helping to comfort children during their cancer treatment. https://t.co/qque7xnzNx
113,0.3818,Sun Mar 11 17:02:03 +0000 2018,0.0,0.794,0.206,114,@BBC,🐑 Ewe won't believe how this farmer revives frozen little lambs.  https://t.co/z1UvoIiRXY
114,0.0,Sun Mar 11 16:55:19 +0000 2018,0.0,1.0,0.0,115,@BBC,"RT @BBCMOTD: John Motson in his element during his last ever LIVE commentary (would you believe it?!)
50 years as a commentator🎙
10 World C…"
115,0.0,Sun Mar 11 16:00:04 +0000 2018,0.0,1.0,0.0,116,@BBC,"By 2050, 30-50% of all species could be heading towards extinction. https://t.co/2TYrhIiBIw"
116,0.0,Sun Mar 11 15:01:05 +0000 2018,0.0,1.0,0.0,117,@BBC,🗑🚀 Tomorrow’s space scientists will have to deal with a monumental amount of space junk left from previous spacecra… https://t.co/IJTpc5TBsd
117,0.0,Sun Mar 11 14:43:09 +0000 2018,0.0,1.0,0.0,118,@BBC,"RT @5liveSport: For the final time...

The legendary John Motson is in our commentary box 🎙️⚽️

He'll be commentating on #Arsenal vs #Watfo…"
118,-0.0772,Sun Mar 11 14:00:04 +0000 2018,0.284,0.459,0.257,119,@BBC,Making fake videos just got easier. https://t.co/VSP9bwHVNZ
119,-0.5267,Sun Mar 11 12:33:04 +0000 2018,0.145,0.855,0.0,120,@BBC,"Captain America teams up with Black Widow to get to the bottom of a conspiracy. 🔥💪🇺🇸

Captain America: The Winter S… https://t.co/yDWYJRUgGi"
